Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS]
Afghanistan,AFG,1990,YR1990,..,67.73049645,0.191389345,23
Afghanistan,AFG,1991,YR1991,..,67.98029557,0.180673786,23.69
Afghanistan,AFG,1992,YR1992,..,67.9943101,0.126516979,27.38
Afghanistan,AFG,1993,YR1993,..,68.34532374,0.109105697,28.5
Afghanistan,AFG,1994,YR1994,..,68.70451237,0.096637746,30.14
Afghanistan,AFG,1995,YR1995,..,69.03703704,0.088781157,31.8
Afghanistan,AFG,1996,YR1996,..,70.37037037,0.082266518,33.89
Afghanistan,AFG,1997,YR1997,..,72.3880597,0.075558698,36.42
Afghanistan,AFG,1998,YR1998,..,74.43609023,0.071269702,38.02
Afghanistan,AFG,1999,YR1999,..,73.72262774,0.058246842,43.44
Afghanistan,AFG,2000,YR2000,..,74.98909408,0.055166607,44.99
Afghanistan,AFG,2001,YR2001,..,72.81145999,0.055292719,45.6
Afghanistan,AFG,2002,YR2002,1280.463171,79.0639712,0.066810138,37.83
Afghanistan,AFG,2003,YR2003,1292.333437,70.24972856,0.073004968,36.66
Afghanistan,AFG,2004,YR2004,1260.060581,70.89084065,0.054866759,44.24
Afghanistan,AFG,2005,YR2005,1352.320627,74.06181015,0.080361134,33.88
Afghanistan,AFG,2006,YR2006,1366.993146,70.75575027,0.089756909,31.89
Afghanistan,AFG,2007,YR2007,1528.344578,72,0.109940042,28.78
Afghanistan,AFG,2008,YR2008,1556.844452,68.65482234,0.165573355,21.17
Afghanistan,AFG,2009,YR2009,1823.742614,87.17660292,0.239506901,16.53
Afghanistan,AFG,2010,YR2010,2026.163818,85.98654709,0.304230216,15.15
Afghanistan,AFG,2011,YR2011,1961.096317,82.48756219,0.408965291,12.61
Afghanistan,AFG,2012,YR2012,2122.830759,85.90998043,0.335061035,15.36
Afghanistan,AFG,2013,YR2013,2165.340915,78.6364081,0.298087813,16.86
Afghanistan,AFG,2014,YR2014,2144.449634,85.32354903,0.283692396,18.93
